359203,85	 1,00	 1,00	-0,00	1434,82	20,47	40,79	 0,00
-108987,86	36,92	 1,00	-1432,48	994,53	39,20	77,23	 0,00
-109536,54	26,02	 1,00	-1432,52	994,38	56,39	109,74	 0,00
-111380,68	15,07	 1,01	-1434,62	989,10	72,17	138,74	 0,00
-112677,88	 3,93	 1,01	-1436,06	985,35	86,67	164,59	 0,00
-113426,76	-7,34	 1,01	-1436,87	983,16	99,99	187,64	-0,00
-113618,86	-18,68	 1,01	-1437,04	982,56	112,23	208,20	-0,00
-113247,98	-30,04	 1,01	-1436,56	983,57	123,46	226,57	-0,00
-112310,12	-41,37	 1,00	-1435,44	986,20	133,76	243,00	-0,00
-110803,58	-52,60	 1,00	-1433,66	990,45	143,20	257,72	-0,00
-108728,98	-63,68	 0,99	-1431,19	996,28	151,84	270,95	-0,00
-106089,35	-74,55	 0,99	-1428,02	1003,66	159,73	282,87	-0,00
-102890,16	-85,16	 0,98	-1424,11	1012,55	166,93	293,66	-0,00
-99139,49	-95,45	 0,97	-1419,43	1022,88	173,47	303,47	-0,00
-94848,07	-105,36	 0,96	-1413,95	1034,56	179,40	312,43	-0,00
-90029,38	-114,85	 0,95	-1407,64	1047,52	184,75	320,66	-0,00
-84699,78	-123,85	 0,94	-1400,45	1061,65	189,55	328,27	-0,00
-78878,56	-132,32	 0,93	-1392,34	1076,83	193,85	335,36	-0,00
-72588,01	-140,21	 0,91	-1383,30	1092,95	197,65	342,00	-0,00
-65853,48	-147,47	 0,90	-1373,29	1109,87	201,00	348,27	-0,00
-58703,38	-154,05	 0,89	-1362,28	1127,46	203,92	354,24	-0,00
-51169,14	-159,92	 0,87	-1350,26	1145,58	206,42	359,95	-0,00
-43285,16	-165,04	 0,85	-1337,22	1164,08	208,54	365,45	-0,00
-35088,71	-169,37	 0,84	-1323,17	1182,82	210,29	370,79	-0,00
-26619,71	-172,88	 0,82	-1308,13	1201,65	211,69	375,99	-0,00
-17920,57	-175,54	 0,80	-1292,11	1220,43	212,77	381,09	-0,00
-9035,89	-177,33	 0,79	-1275,16	1239,02	213,54	386,11	-0,00
-12,15	-178,24	 0,77	-1257,35	1257,30	214,04	391,06	-0,00
9102,62	-178,24	 0,75	-1238,73	1275,14	214,27	395,95	-0,00
18259,25	-177,33	 0,73	-1219,40	1292,44	214,26	400,81	-0,00
27407,83	-175,50	 0,71	-1199,46	1309,09	214,02	405,62	-0,00
36498,16	-172,76	 0,70	-1179,02	1325,01	213,59	410,41	-0,00
45480,16	-169,11	 0,68	-1158,21	1340,13	212,98	415,16	-0,00
54304,32	-164,56	 0,66	-1137,16	1354,38	212,22	419,88	-0,00
62922,08	-159,13	 0,65	-1116,04	1367,72	211,31	424,55	-0,00
71286,24	-152,84	 0,63	-1094,99	1380,13	210,30	429,19	-0,00
79351,27	-145,71	 0,61	-1074,17	1391,58	209,18	433,77	-0,00
87073,67	-137,78	 0,60	-1053,77	1402,07	208,00	438,29	-0,00
94412,14	-129,07	 0,59	-1033,95	1411,60	206,75	442,74	-0,00
101327,87	-119,63	 0,57	-1014,88	1420,19	205,47	447,11	-0,00
107784,61	-109,49	 0,56	-996,73	1427,87	204,17	451,39	-0,00
113748,82	-98,72	 0,55	-979,66	1434,65	202,87	455,56	-0,00
119189,68	-87,34	 0,54	-963,83	1440,59	201,59	459,62	-0,00
124079,15	-75,42	 0,53	-949,40	1445,72	200,33	463,55	-0,00
